#;Control cluster;Control title;Control;Control description;Reference frameworks;Lifecycle phase;Segment;Threats addressed;Criterio
1;Policies & procedures;Information Security Policies;An Information Security Policy (ISP) and other relevant cybersecurity policies and guidelines are defined and documented (e.g. change management policy  remote access policy  incident response  and other) ;"ISP and topic-specific policies  procedures and other types of documentation are defined  approved by management  published  communicated to and acknowledged by relevant personnel and relevant interested parties  and reviewed at planned intervals and if significant changes occur. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";"ISO27kNIST IR 8401 NIST IR 8411 SPARTA";All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
12;Risk management;Third Party risk management;Cyber supply chain risk management processes are defined and implemented;Cyber supply chain risk management (SCRM) processes are identified  established  assessed  managed and agreed to by organizational stakeholders. These ensure that supply chain risks are identified  assessed  and managed. The SCRM process includes third parties  such as suppliers or partners  who provide information systems  components and/or services. It enables considering and defining multi-supplier strategies (supporting supplier diversification).;"METI NIST CSF 2.0  NIST IR 8401 NIST IR 8411";All;"Ground Space User";Supply Chain Compromise, Third Party non-compliance (supply chain), Data leaks;"Mitigation Presence  Privilege Requirement   "
13;Risk management;Risk management;Risk  management processes and procedures are defined and implemented;Risk management processes and procedures are defined and implemented  including risk management objectives  risk appetite and tolerance thresholds  and appropriate risk response options  considering internal and external stakeholders' needs and expectations. Identified threats and vulnerabilities are assessed using a standardised method for calculating  documenting  categorising  and prioritising cybersecurity risks. Processes and procedures for reporting on the current levels of risks are in place.;"METI NIST CSF 2.0 NIST IR 8323r1 NIST IR 8411";All;"Ground Space User Human Resources";Compromising confidential information (data breaches): Exfiltration, Malicious code/software/activity: Cryptographic exploit, Malicious code/software/activity: Network exploit, Theft of authentication information, Unauthorized modification: Parameters, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Failure of communication networks, Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption;"Vulnerability Effectiveness   Mitigation Presence   "
14;Risk management;Business Impact Analysis (BIA);Business Impact Analysis is conducted during the design and development phase to prevent any future vulnerabilities.;Business Impact Analysis (BIA) is conducted to identify and assess potential impacts of threats and the likelihood of their occurrence. It is a crucial process for BCM that identifies and evaluates the potential effects of disruptions on critical business operations. BIA informs the BCM strategy  ensuring that roles and responsibilities are clearly defined  with teams assigned to mitigate risks and implement effective recovery measures in the event of a disruption.;"ISO27k NIST IR 8401 NIST IR 8411";Phase B/C;Ground;Inadequate security planning/management;"Vulnerability Effectiveness   Mitigation Presence   Resilience Impact"
15;Security by Design;Configuration Management ;Configurations  including security configurations  are defined  documented  implemented  monitored and reviewed.;Configurations  including security configurations  of hardware  software  services and networks are established  documented  implemented  monitored and reviewed. A baseline configuration of information technology/industrial control systems that incorporates security principles (e.g. concept of least functionality) is created and maintained. The principle of least functionality is incorporated by configuring systems to provide only essential capabilities.;"ISO27k NIST IR 8270";"Phase B/C Phase D Phase E";"Ground Space";Seizure of Control, Malicious code/software/activity: Network exploit, Software misconfiguration;"Vulnerability Effectiveness   Mitigation Presence   Detection Probability"
16;Security by Design;Coding Standard;Secure coding principles for software development are defined and implemented to ensure proper security constructs are in place;"Acceptable coding standards to be used by the software developers are defined  including acceptable software development language. The language should consider security requirements  scalability of the application  the complexity of the application  development budget  development time limit  application security  available resources  etc. The coding standard and language choice must ensure proper security constructs are in place. Automated means to evaluate adherence to coding standards should be employed. The principles also take into account on-board software in terms of code size/computing power required (e.g.; safe memory access/allocation) and potential tradeoffs and constraints due to the software's capabilities and runtimes needed to support the language choice.";"ISO27k SPARTA";Phase B/C;Ground;Firmware corruption, Malicious code/software/activity: Software and vulnerabilities exploit, Manipulation of hardware and software: Zero-Day exploit, Software misconfiguration;"Vulnerability Effectiveness   Mitigation Presence"
17;Security by Design;Secure Development Lifecycle;Rules for the secure development of software and systems should be established and applied. ;Principles for engineering secure systems should be established  documented  maintained and applied to any information system development activities;"BSI TR-03184 ISO27k NIST IR 8270";"Phase B/C Phase E";"Ground Space";Seizure of Control, Preventing services, Data Modification, Malicious code/software/activity: Software and vulnerabilities exploit, Manipulation of hardware and software: Zero-Day exploit, Software misconfiguration;"Vulnerability Effectiveness   Mitigation Presence   "
18;Security by Design;Cybersecurity-Safe Mode;Secure vehicle fault management functions and safe mode operations are implemented to enable a cyber-safe mode when threats are detected;"The capability to enter the spacecraft into a configuration-controlled and integrity-protected state representing a known  operational cyber-safe state (e.g. cyber-safe mode) is provided. The spacecraft should be able to enter a cyber-safe mode when conditions that threaten the platform are detected.  The cyber-safe mode ensures all nonessential systems are shut down and the spacecraft is placed in a known good state using validated software and configuration settings. Within cyber-safe mode  authentication and encryption should still be enabled. The spacecraft should be capable of reconstituting firmware and software functions to pre-attack levels to allow for the recovery of functional capabilities (by self-healing or supported from the ground). If not possible  a reduced level of mission capability should be achieved.  Cyber-safe mode software/configuration should be stored onboard the spacecraft in memory with hardware-based controls and should not be modifiable.";"NASA BPG SPARTA";"Phase B/C Phase E Phase E Phase F";"Ground Space";Seizure of Control, Preventing services, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Malicious code/software/activity: Cryptographic exploit, Firmware corruption, Operating errors, Data leaks;"Mitigation Presence   Response Delay   Resilience Impact"
19;Security by Design;Secure Command Mode(s);Spacecraft protection is enhanced by additional protection modes;Additional protection modes for commanding the spacecraft are in place. These may include the spacecraft restricting command lock based on geographic location of ground stations  special operational modes within the flight software  or temporal controls where the spacecraft will only accept commands during certain times.;SPARTA;"Phase E Phase E Phase F";Space;Seizure of Control;"Mitigation Presence   Access Complexity   Privilege Requirement"
20;Security by Design;Security of Power Systems;Power randomization and power consumption obfuscation techniques are employed ;"Hardware circuits are designed to ensure that the hardware module is built into the chip that adds noise to the power consumption to mask changes in power consumption. This increases the cost/difficulty of a power analysis attack. Alternatively  obfuscation is performed but it should not degrade operability of the system. These come at an increased cost for manufacturing sensor nodes. Power randomization is not energy efficient and could be impactful for size  weight  and power which is limited on spacecraft as it adds to the fabrication cost of the device.";SPARTA;"Phase E Phase E";Space;Failure of power supply, Failure of communication networks, Security services failure;"Mitigation Presence  "
21;Security by Design;Separation of Environments;The development  testing and production environments are separated and secured;Development  testing  and production environments are separated and secured to prevent unauthorized access and mitigate the risk of cross-environment contamination. This ensures that changes in development and testing do not impact production systems and maintains the integrity and confidentiality of each environment. Backup systems are equally secured.;ISO27k;"Phase B/C Phase D";Ground;Unauthorized modification: Parameters, Inadequate security planning/management, Preventing services, Malicious code/software/activity: Software and vulnerabilities exploit;"Vulnerability Effectiveness   Mitigation Presence"
22;Security by Design;Change Management;Change management procedures are defined and documented;Changes to information processing facilities and information systems are subject to defined and documented change management procedures. Configuration change control processes are in place.  ;"ISO27k NIST IR 8270";"Phase E Phase F";"Ground Space";Seizure of Control, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit;Mitigation Presence   
23;Environmental & Physical Security;Transport  Security;Transport from the integration hall to the test stations  between different facilities  and to the start facility is secured;"The date  the route  the shipping company and the personnel involved is kept as secret as possible. Staff should be instructed and obligated to maintain secrecy. Use of trustworthy personnel for transport in ensured  accounting for time and security-related conditions for transport. Electronic document exchanges are conducted using protected communication channels or encryption of the information for transmission via open communication channels. Separation of important elements of the satellite during transport should be examined  if this is still possible at this stage of integration. It should also be examined whether the selection of suitable tamper measures for individual components or for the transport container is necessary and useful. This also includes ensuring that the containers used for transport are properly secures from different environmental and atmospheric hazards. The services offered by the transport companies  the means of transport provided or the courier services commissioned are assessed with regards to their scope of services and execution - measured against contractually specified requirements. For further information on supplier reviews  refer to the Supply Chain Management controls.";BSI TR-03184 ;"Phase D Phase D";Ground;Seizure of Control, Malicious code/software/activity: Cryptographic exploit, Theft of authentication information, Loss during shipping, Rogue hardware, Environmental hazards, Unauthorized use of equipment, Unauthorized physical access, Damage/Destruction of segment assets, Atmospheric hazards;"Mitigation Presence  "
24;Environmental & Physical Security;Tamper Protection;Physical inspection of hardware is performed to identify potential tampering;Tamper proof protection is employed where possible when shipping/receiving equipment  with physical inspection of hardware performed. Cybersecurity measures for satellite operation and data utilisation facilities – tracking and control station  receiving station  network operation system  and mission control system – are in place (including satellite control system and orbit control system). ;"SPARTA METI";"Phase B/C Phase D Phase D";Ground;Seizure of Control, Malicious code/software/activity: Network exploit, Data Modification;"Mitigation Presence   Detection Probability"
25;Network security;Communications Security;Secure communication protocols are employed to prevent unauthorized disclosure of  and detect changes to information;"Secure communication protocols with strong cryptographic mechanisms are employed to prevent unauthorized disclosure of  and detect changes to  information during transmission. Confidentiality and integrity of information during preparation for transmission and during reception is maintained. The spacecraft mode of operations prevents disabling cryptography on the TT&C link (i.e. crypto-bypass mode). Wireless transmissions that are deliberate attempts to achieve imitative or manipulative communications deception based on signal parameters are identified and rejected.  Value and relevance of data/information is determined at specific time intervales to ensure that varying levels of encryption complexity are applied. ";"METI NIST IR 8323r1 SPARTA";Phase E;"Space User";Compromising confidential information (data breaches): Exfiltration, Malicious code/software/activity: Cryptographic exploit, Malicious code/software/activity: Network exploit, Theft of authentication information, Unauthorized modification: Parameters, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Failure of communication networks;"Vulnerability Effectiveness   Mitigation Presence  Detection Probability"
26;Network security;Anti-counterfeit Hardware;Anti-counterfeit policy and procedures are defined and implemented;Anti-counterfeit policies and procedures designed to detect and prevent counterfeit components from entering the information system are documented and implemented. These includes tamper resistance and protection against the introduction of malicious code or hardware. ;SPARTA;Phase B/C;Ground;Data Modification, Sabotage through hardware/software, Rogue hardware, Negligence of asset handling security requirements, Third Party non-compliance (supply chain);Mitigation Presence   
27;Network security;Transmission security;Transmission security solutions and measures are employed to protect communication transmission;"Transmission security solutions and measures are employed to prevent interception  disruption of reception  communications deception  and/or derivation of intelligence by analysis of transmission characteristics such as signal parameters or message externals.  For example  jam-resistant waveforms are utilised to improve the resistance of radio frequency signals to jamming and spoofing.  This is applied to space-space (i.e.: inter-satellite links) systems if these space systems has such capability. For the encryption of the group-space communication via RF  please refer to control #39.";SPARTA;"Phase E Phase E Phase E";Space;Spoofing, Malicious code/software/activity: Network exploit, Jamming, Hijacking, Interception of communication, Man-in-the-Middle, Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access;"Vulnerability Effectiveness   Mitigation Presence"
28;Network security;Disable Physical Ports;Physical ports are disabled prior to operations;Data connection ports or input/output devices (e.g. JTAG) are disabled or removed prior to spacecraft operations.;SPARTA;"Phase B/C Phase D ";Ground;Malicious code/software/activity: Network exploit, Data Modification, Sabotage through hardware/software, Negligence of asset handling security requirements, Data leaks, Damage/Destruction of segment assets;"Vulnerability Effectiveness   Access Complexity"
29;Network security;Backdoor Commands;Non-critical backdoor commands are disabled;An analysis of critical (backdoor/hardware) commands that could adversely affect mission success if used maliciously is performed. All viable commands are identified and documented. Only critical commands for the purpose of providing emergency access where commanding authority is appropriately restricted are employed.;SPARTA;"Phase B/C Phase D";Ground;Malicious code/software/activity: Network exploit, Malicious code/software/activity: Malicious injection, Unauthorized access, Software misconfiguration, Supply Chain Compromise;"Vulnerability Effectiveness  Access Complexity"
30;Network security;Resilient Position  Navigation  and Timing;Authentication mechanisms to verify GNSS information sources are in place;"Authentication mechanisms that allows GNSS receivers to verify the authenticity of the GNSS information and of the transmitting entity are utilised where possible  to verify trusted sources. Fault-tolerant authoritative time sourcing is in place for the spacecraft to synchronize internal system clocks for each processor when the time difference is greater than the FSW-defined interval. ";SPARTA;Phase E;"Ground Space User";Malicious code/software/activity: Network exploit, Malicious code/software/activity: Malicious injection, Data Modification, Hijacking, Interception of communication, Man-in-the-Middle, Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic;"Mitigation Presence   Detection Probability"
31;Network security;Smart Contracts;Smart contracts are used to enforce security protocols;Smart contracts are used to mitigate harm when an attacker is attempting to compromise a hosted payload. Smart contracts stipulate security protocols required across a bus and  if violated  the violator is barred from exchanges across the system after consensus achieved across the network.;SPARTA;Phase E;Space;Malicious code/software/activity: Network exploit, Theft of authentication information, Network traffic manipulation (TC), Replay of recorded authentic communication traffic, Unauthorized access;"Mitigation Presence  Privilege Requirement"
32;Network security;Communication Physical Medium;Alternate physical mediums for networking are in place to mitigate network security concerns;Alternate physical mediums for networking based on the threat model/environment are in place. For example  fibreoptic cabling is commonly perceived as a better choice in lieu of copper for mitigating network security concerns (e.g. eavesdropping/traffic flow analysis) because optical connections transmit data using light and don’t radiate signals that can be intercepted.;SPARTA;Phase E;Ground;Malicious code/software/activity: Network exploit, Data Modification, Interception of communication, Man-in-the-Middle, Hijacking, Man-in-the-Middle, Network traffic manipulation (TC);"Mitigation Presence  "
33;Network security;Traffic Flow Security;Traffic flow security and confidentiality measures are in place to mitigate traffic analysis attacks ;Techniques to assure traffic flow security and confidentiality are applied to links that carry TT&C and/or data transmissions (to include on-board the spacecraft) to mitigate or defeat traffic analysis attacks or reduce the value of any indicators or adversary inferences. These may include methods to pad or otherwise obfuscate traffic volumes/duration and/or periodicity  concealment of routing information and/or endpoints  or methods to frustrate statistical analysis. ;SPARTA;Phase E;Ground;Malicious code/software/activity: Network exploit, Data Modification, Hijacking, Unauthorized access, Failure of communication networks;"Vulnerability Effectiveness   Mitigation Presence"
34;Network security;Access-based network segmentation;The network is segmented into subnetworks to prevent unauthorised access ;"Network segmentation is based on the specifications for network architecture and design.  Information should not be allowed to flow between partitioned applications unless explicitly permitted by security policy. Isolate mission critical functionality from non-mission critical functionality by means of an isolation boundary (implemented via partitions) that controls access to and protects the integrity of  the hardware  software  and firmware that provides that functionality. Access to physical and logical assets and associated facilities is limited to authorized users  processes  and devices and is managed consistent with the assessed risk.  Enforce approved authorizations for controlling the flow of information within the spacecraft and between interconnected systems based on the defined security policy that information does not leave the spacecraft boundary unless it is encrypted. Implement boundary protections to separate bus  communications  and payload components supporting their respective functions. Relevant assets include antennas  receivers  servers  and subscriptions  as well as radio frequency emanations. ";"BSI TR-03184 ISO27k NIST IR 8323r1 NIST IR 8411 SPARTA";"Phase E  Phase E";"Ground Space User";Seizure of Control, Resource exhaustion, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Hijacking, Interception of communication, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Unauthorized access, Lack of segregation, Data leaks;"Vulnerability Effectiveness   Access Complexity"
35;Network security;Cryptography & Crypto Key Management;"Rules for the use of cryptography are defined and implemented; On-board messages are encrypted";"Rules for the effective use of cryptography  including cryptographic key management  are defined and implemented. Only approved cryptographic algorithms  cryptographic key generation algorithms or key distribution techniques  authentication techniques  or evaluation criteria are employed. Encryption key handling is performed outside of the onboard software and is protected using cryptography. Encryption keys are restricted and cannot be read via any telecommands. In future deployment of Quantum Key Distribution (QKD) via satellites  consider public key infrastructure (PKI)  a combination of quantum-resistant asymmetric cryptographic implementations (PQC) and pre-quantum asymmetric cryptographic solutions  with the use of Field Programmable Gate Arrays (FPGAs) which will allow to reconfigure the encryption algorithms. Frequency of key update and key lenght/complexity is determined based on the importance/relevance of data being secured - see control #25. In case of detected attacks  or other forms of anomalies and events  existing communication encryption and other measures such as the change of crypto hardware and software  algorithms and keys should be reviewed. In addition to authentication on-board the spacecraft bus  as well as all the network connections  authenticated encryption is also recommended to protect the confidentiality of the data traversing the bus. Ensure basic protections like encryption are still being used on the uplink/downlink to prevent eavesdropping. Lastly  the Inster-Satellite-Link (ISL) which enables satellite to connect to each other and communicate is protected via encryption. ";"BSI TR-03184 BSI Profile for Space ISO27k SPARTA";"Phase B/C Phase D Phase E";"Ground Space";Preventing services, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Cryptographic exploit, Hijacking, Spoofing, Jamming, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Data leaks;"Vulnerability Effectiveness   Mitigation Presence   Privilege Requirement"
36;Network security;On-board Message Encryption;Encryption of the message and the space link;"In addition to authenticating the on-board the spacecraft bus  encryption is also recommended to protect the confidentiality of the data traversing the bus. Basic protections like encryption are still being used on the uplink/downlink to prevent eavesdropping.  CCSDS defines and recommends specific protocols  which could be applied in ensuring secure linking;  modularity between the existing implementations of the SDL protocols (Telemetry  Telecommand  and Advanced Orbiting Services) and the Space Data Link Security Protocol (SDLS) protocol is envisaged. The latter protects the services offered by the SDL protocols and supports the three security services of Authentication  Encryption and Authenticated Encryption. ";SPARTA;Phase E;"Space User";Resource exhaustion, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Cryptographic exploit, Data Modification, Hijacking, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Data leaks;"Vulnerability Effectiveness  Mitigation Presence"
37;Network security;Power Masking;Power masking is used to protect secret keys;Masking is a scheme in which the intermediate variable is not dependent on an easily accessible subset of secret key. This results in making it impossible to deduce the secret key with partial information gathered through electromagnetic leakage.;SPARTA;Phase E;"Space User";Malicious code/software/activity: Cryptographic exploit, Theft of authentication information, Unauthorized access, Preventing services;"Mitigation Presence   Privilege Requirement"
38;Network security;Satellite Unit RF Encryption;Encryption of RF link ;Implement cybersecurity measures in the satellite system (main satellite unit and RF communication).;SPARTA;"Phase B/C Phase E";Space;Malicious code/software/activity: Network exploit, Malicious code/software/activity: Cryptographic exploit, Hijacking, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Data leaks;"Vulnerability Effectiveness   Mitigation Presence"
39;Network security;Data encryption;"Transmitted data  (bus-payload link) is encrypted; Specific keys/algorithms are used for specific segments";"Encryption and transmission security is employed in accordance with availability  integrity  and confidentiality requirements. Time protocols may need integrity  authentication  and— for certain use cases — confidentiality protections.  Data encryption and decryption practices should be discussed with external organizations. Measures such as error detection  error correction  bulk link encryption and other transport layer protections should be considered.  The link between bus and payload is also encrypted / segmented depending on the purpose of the space system (with keys/algorithms used for specific segments).";"NIST IR 8323r1 NIST IR 8411";Phase E;User;Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Malicious code/software/activity: Cryptographic exploit, Data Modification, Data Modification, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Lack of segregation, Data leaks;"Vulnerability Effectiveness   Mitigation Presence"
40;Data security;Information classification and labelling;Information is classified according to the assessed risk level and confidentiality  integrity  and availability needs (CIA)  and labelled accordingly;" Information is classified according to its risk rating from risk assessments  labeled accordingly  and stored in a regularly maintained data inventory. The assigned classification levels are used to determine access rights  acceptable use  and protection requirements.";"BSI TR-03184 ISO27k";Phase E;User;Data Modification, Compromising confidential information (data breaches): Exfiltration;Mitigation Presence   
41;Data security;Data Management;Data is protected in all states (rest  transit  use);The confidentiality  integrity  and availability of data at rest  in transit  and in use are safeguarded according to the risk and classification level. Integrity checks for transferred data utilize checksum or hash-based methods. Data at rest  such as backups  is stored securely and separately from the operational system. Procedures for handling data in all states include considerations and requirements for third parties.;"ISO27k NIST CSF 2.0 NIST IR 8323r1  NIST IR 8401 NIST IR 8411 SPARTA";All ;"Space User";Data Modification, Compromising confidential information (data breaches): Exfiltration, Inadequate security planning/management;"Vulnerability Effectiveness  Mitigation Presence"
42;Data security;Data Loss Prevention;Data Loss Prevention (DLP) solutions and measures are employed;DLP solutions are implemented to safeguard information assets from unauthorized access  disclosure  and modification  employing methods such as authentication  information flow isolation  access control  and encryption. Physical locations housing critical assets are secured against data leakage. Additionally  shared system resources like registers  main memory  and secondary storage are sanitized to remove any information previously stored from prior use.;"ISO27k NIST IR 8323r1 NIST IR 8401 NIST IR 8411 SPARTA";All ;"Ground Space User";Seizure of Control, Preventing services, Malicious code/software/activity: Cryptographic exploit, Data Modification, Compromising confidential information (data breaches): Exfiltration, Data leaks, Abuse of leaked data;"Mitigation Presence   Detection Probability"
